ko,en,cn,jp,vi,description
네임드 토벌,Named Quest,,,,v4_common
길드 던전,Guild Dungeon,,,,v4_common
길드 주화,Guild Coin,,,,v4_common
길드,Guild,,,,v4_common
대장,Captain,,,,v4_common
부대장,Vice-Captain,,,,v4_common
파티장,Party Leader,,,,v4_common
파티,Party,,,,v4_common
추출,Extract,,,,v4_common
영혼석,Soul stone,,,,v4_common
승급,Upgrade,,,,v4_common
마석,Devil Stone,,,,v4_common
각인,Seal,,,,v4_common
포션,Potion,,,,v4_common
물약,Potion,,,,v4_common
흔적,Trace,,,,v4_common
우편,Mail,,,,v4_common
우편함,Mail,,,,v4_common
잠재력,Mastery,,,,v4_common
레벨,Level,,,,v4_common
임무,Mission,,,,v4_common
몬스터 조사,Monster Research,,,,v4_common
조사 단계,Investigation grade,,,,v4_common
특화,Talent,,,,v4_common
매지션,Magician,,,,v4_common
블레이더 ,Blader,,,,v4_common
건슬링어,Gunslinger,,,,v4_common
나이트,Knight,,,,v4_common
워로드,Warlord,,,,v4_common
액슬러,Boomblade,,,,v4_common
아처,Archer,,,,v4_common
실루나스,Permanent Field,,,,v4_common
루나트라,Parallel Field,,,,v4_common
페이징 맵,Phased Field,,,,v4_common
순위,Ranking,,,,v4_common
성물,Relic,,,,v4_common
인벤토리,Inventory,,,,v4_common
창고,Warehouse,,,,v4_common
분해,Decomposition,,,,v4_common
스킬,Skill,,,,v4_common
효과,Effect,,,,v4_common
버프,Buff,,,,v4_common
특성,Ability,,,,v4_common
절전모드,Power Saving Mode,,,,v4_common
당겨짐,Pulling,,,,v4_common
아이템,Item,,,,v4_common
사냥터,Hunting Ground,,,,v4_common
사냥,Hunt,,,,v4_common
필터,Filter,,,,v4_common
정렬,Sort,,,,v4_common
검색,Search,,,,v4_common
유료 재화,Cash goods,,,,v4_common
몬스터,Monster,,,,v4_common
데빌체이서,Devil Chaser,,,,v4_common
잠재력 개방,Unlock Potential,,,,v4_common
동료,Fellow,,,,v4_common
지역토벌퀘스트,Local Submission Quest,,,,v4_common
업적,Achievement,,,,v4_common
지도,Map,,,,v4_common
몽환의틈,Phantom Abyss,,,,v4_common
악마토벌,Demon Conquest,,,,v4_common
루나트라,Lunatra,,,,v4_common
아이템 수집,Item Collection,,,,v4_common
좌표기억,Coordinate memory,,,,v4_common
흔적 교환원,Marking Merchant,,,,v4_common
평화,Calm,,,,v4_common
분쟁,Conflict,,,,v4_common
무법,Chaotic,,,,v4_common
동료 ,Companion,,,,v4_common
귀속,Bound,,,,v4_common
흔적상점,TraceShop,,,,v4_common
몬스터흔적,MonsterTrace,,,,v4_common
몬스터 흔적,MonsterTrace,,,,v4_common
몬스터흔적,Monster Trace,,,,v4_common
접속,Login,,,,v4_common
맹약 장비,Alliance Equipment,,,,v4_common
황혼의땅,Land of Evenfall,,,,v4_common
야수의 심연,Beast's Void,,,,v4_common
어쌔신,Assassin,,,,v4_common
툴란,Tulan,,,,v4_common
툴란 지역,Tulan Zone,,,,v4_common
바말론,Bamaron,,,,v4_common
차원난투전,Dimensional Brawl,,,,v4_common
마에스트로 ,Maestro,,,,v4_common
평타,Normal attack,,,,v4_common
상념의 각인석,Reverie Imprint Stone,,,,v4_common
장비 분해,Equipment Decomposition,,,,v4_common
개인 적대,Personal hostility,,,,v4_common
보스를,Karnaf,,,,v4_common
AIO,AIO,,,,v4_common
,Inf,,,,v4_common
스턴 (기절),Stun,,,,abnormalcondition
넉다운 (넘어짐),KnockDown,,,,abnormalcondition
넉백 (밀쳐짐),KnockBack,,,,abnormalcondition
약점노출1,Weakness,,,,abnormalcondition
크리티컬,Critical,,,,abnormalcondition
회피,Dodge,,,,abnormalcondition
무기막기 (막기),Parry,,,,abnormalcondition
속박,Fetter,,,,abnormalcondition
면역,Immunity,,,,abnormalcondition
출혈,Bleeding,,,,abnormalcondition
화상,Floating_Burnning,,,,abnormalcondition
지속 힐,HealOverTime,,,,abnormalcondition
이동속도 증가,MoveSpeedUp,,,,abnormalcondition
이동 속도 감소,MoveSpeedDown,,,,abnormalcondition
공격력 증가,AttackPowerUp,,,,abnormalcondition
공격력 감소,AttackPowerDown,,,,abnormalcondition
마법 공격력 증가,MagicalAttackPowerUp,,,,abnormalcondition
마법 공격력 감소,MagicalAttackPowerDown,,,,abnormalcondition
마법 방어력 증가,MagicalDefensePowerUp,,,,abnormalcondition
마법 방어력 감소,MagicalDefensePowerDown,,,,abnormalcondition
막기 증가,ParryUp,,,,abnormalcondition
막기 감소,ParryDown,,,,abnormalcondition
상태이상 저항 증가,StatusEffectResistUp,,,,abnormalcondition
상태이상 저항 감소,StatusEffectResistDown,,,,abnormalcondition
(물리/마법)방어력 하락,DefenseDown,,,,abnormalcondition
(물리/마법)방어력 증가,DefenseUp,,,,abnormalcondition
공격속도 증가,AttackSpeedUp,,,,abnormalcondition
공격속도 감소,AttackSpeedDown,,,,abnormalcondition
물리/마법 방어력 상승,Buff_Defense_PM_UP,,,,abnormalcondition
명중 증가,Accuracy_Up,,,,abnormalcondition
명중 감소,Accuracy_Down,,,,abnormalcondition
회피율 증가,Dodge_Up,,,,abnormalcondition
치명타율 증가,Critical_Occur_Up,,,,abnormalcondition
치명타율 감소,Critical_Occur_Down,,,,abnormalcondition
치명타 피해 증가,Critical_Damage_Up,,,,abnormalcondition
치명타 피해 감소,Critical_Damage_Down,,,,abnormalcondition
출혈 도트,DOT_Bleeding,,,,abnormalcondition
그로기,Groggy,,,,abnormalcondition
가속,acceleration,,,,abnormalcondition
기절 저항,StunResist,,,,abnormalcondition
넘어짐 저항,KnockDownResist,,,,abnormalcondition
밀쳐짐 저항,KnockBackResist,,,,abnormalcondition
약점노출 저항,WeaknessResist,,,,abnormalcondition
스태거 저항,StaggerResist,,,,abnormalcondition
공격속도 상승,AtkSpeed,,,,abnormalcondition
공격능력 상승,AtkAbility,,,,abnormalcondition
상태이상 저항,CCResist,,,,abnormalcondition
스킬 쿨타임 감소,SkillCoolTime_Reduce,,,,abnormalcondition
무적 플로터,DamageImmune,,,,abnormalcondition
방어능력 상승,DefAbility,,,,abnormalcondition
공격력 상승 2,Buff_Item_ATTACK_POWER,,,,abnormalcondition
공격력 상승 1,Buff_Item_ATTACK_POWER,,,,abnormalcondition
공격 증가율 상승 2,Buff_Item_ATTACK_POWER_UP_RATE,,,,abnormalcondition
공격 증가율 상승 1,Buff_Item_ATTACK_POWER_UP_RATE,,,,abnormalcondition
방어력 상승 2,Buff_Item_DEFENSE_POWER,,,,abnormalcondition
방어력 상승 1,Buff_Item_DEFENSE_POWER,,,,abnormalcondition
방어력 증가율 상승 2,Buff_Item_DEFENSE_POWER_UP_RATE,,,,abnormalcondition
방어력 증가율 상승 1,Buff_Item_DEFENSE_POWER_UP_RATE,,,,abnormalcondition
최대 체력 상승 2,Buff_Item_MAX_HP,,,,abnormalcondition
최대 체력 상승 1,Buff_Item_MAX_HP,,,,abnormalcondition
최대 정신력 상승 2,Buff_Item_MAX_COST,,,,abnormalcondition
최대 정신력 상승 1,Buff_Item_MAX_COST,,,,abnormalcondition
체력 회복량 상승 2,Buff_Item_HP_REGEN,,,,abnormalcondition
체력 회복량 상승 1,Buff_Item_HP_REGEN,,,,abnormalcondition
정신력 회복량 상승 2,Buff_Item_COST_REGEN,,,,abnormalcondition
정신력 회복량 상승 1,Buff_Item_COST_REGEN,,,,abnormalcondition
회피 상승 2,Buff_Item_DODGE_OCCUR,,,,abnormalcondition
회피 상승 1,Buff_Item_DODGE_OCCUR,,,,abnormalcondition
명중 상승 2,Buff_Item_HIT_ACCURACY,,,,abnormalcondition
명중 상승 1,Buff_Item_HIT_ACCURACY,,,,abnormalcondition
치명타 상승 2,Buff_Item_CRITICAL_OCCUR,,,,abnormalcondition
치명타 상승 1,Buff_Item_CRITICAL_OCCUR,,,,abnormalcondition
치명타 저항 상승 2,Buff_Item_CRITICAL_RESIST_OCCUR,,,,abnormalcondition
치명타 저항 상승 1,Buff_Item_CRITICAL_RESIST_OCCUR,,,,abnormalcondition
치명타 피해 증가율 상승 2,Buff_Item_CRITICAL_DAMAGE_UP_RATE,,,,abnormalcondition
치명타 피해 증가율 상승 1,Buff_Item_CRITICAL_DAMAGE_UP_RATE,,,,abnormalcondition
무기 막기 상승 2,Buff_Item_PARRY_OCCUR,,,,abnormalcondition
무기 막기 상승 1,Buff_Item_PARRY_OCCUR,,,,abnormalcondition
방패 막기 상승 2 (사용안함),Buff_Item_BLOCK_OCCUR,,,,abnormalcondition
방패 막기 상승 1 (사용안함),Buff_Item_BLOCK_OCCUR,,,,abnormalcondition
고정 피해 상승 2,Buff_Item_FIXED_DAMAGE,,,,abnormalcondition
고정 피해 상승 1,Buff_Item_FIXED_DAMAGE,,,,abnormalcondition
최대 무게 상승 2,Buff_Item_MAX_WEIGHT,,,,abnormalcondition
최대 무게 상승 1,Buff_Item_MAX_WEIGHT,,,,abnormalcondition
피라쿠 효과 발동,Floating_Pet_Ability_PiracuEffect,,,,abnormalcondition
만고라 효과 발동,Floating_Pet_Ability_MandragoraEffect,,,,abnormalcondition
리자드 효과 발동,Floating_Pet_Ability_Doodle_SpearEffect,,,,abnormalcondition
드라스 효과 발동,Floating_Pet_Ability_LizardEffect,,,,abnormalcondition
티누 효과 발동,Floating_Pet_Ability_HarpyEffect,,,,abnormalcondition
새싹 엔트 효과 발동,Floating_Pet_Ability_MagicEelEffect,,,,abnormalcondition
페로 효과 발동,Floating_Pet_Ability_EntYoungEffect,,,,abnormalcondition
깜이 효과 발동,Floating_Pet_Ability_OwlEffect,,,,abnormalcondition
크로우 효과 발동,Floating_Pet_Ability_ScareCrowEffect,,,,abnormalcondition
오그혼 효과 발동,Floating_Pet_Ability_CokatriceEffect,,,,abnormalcondition
코카스 효과 발동,Floating_Pet_Ability_TinoEffect,,,,abnormalcondition
티노 효과 발동,Floating_Pet_Ability_WispEffect,,,,abnormalcondition
위습 효과 발동,Floating_Pet_Ability_Doodle_Spear_BEffect,,,,abnormalcondition
두두 효과 발동,Floating_Pet_Ability_LittleDinuksEffect,,,,abnormalcondition
프로기 효과 발동,Floating_Pet_Ability_Siba_BlackEffect,,,,abnormalcondition
해그위드 효과 발동,Floating_Pet_Ability_ProggyEffect,,,,abnormalcondition
꼬마 디눅스 효과 발동,Floating_Pet_Ability_TinuEffect,,,,abnormalcondition
꼬마 바쿤 효과 발동,Floating_Pet_Ability_LittleBakunEffect,,,,abnormalcondition
티나 효과 발동,Floating_Pet_Ability_TinaEffect,,,,abnormalcondition
액슬러 매커니즘 플로터,Floating_Buff_Axceler_MechanismSkill01,,,,abnormalcondition
펫 보호막 생성,Floating_Pet_Shield_Effect,,,,abnormalcondition
방어력 증가,PhysicalDefensePowerUp,,,,abnormalcondition
방어력 감소,PhysicalDefensePowerDown,,,,abnormalcondition
저림 효과,Numbness,,,,abnormalcondition
공속/이속 감소,SpeedDown,,,,abnormalcondition
속전속결,Floating_Passive_Axceler_01,,,,abnormalcondition
역전,Floating_Passive_Axceler_02,,,,abnormalcondition
시공의 은총,Floating_Passive_Axceler_03,,,,abnormalcondition
사냥 준비,Gunslinger_Skill06,,,,abnormalcondition
회복 속도 증가,Axceler_Talent13,,,,abnormalcondition
스킬 대기시간 증가,SkillCoolTime_Plus,,,,abnormalcondition
PC 보호막 생성,Floating_Pc_Shield_Effect,,,,abnormalcondition
라베나 섬,Lavena Island,,,,map
햇살 가도,Sunshine Road,,,,map
쌍둥이 풍차,Twin Windmills,,,,map
에르나 꽃밭,Erna Flowerbeds,,,,map
라베나 섬 마을,Lavena Village,,,,map
별빛 해안가,Starlight Shore,,,,map
별빛 해안 야영지,Starlight Shore Campsite,,,,map
가파른 해안 절벽,Steep Coastal Cliff,,,,map
해안 절벽 창고,Coastal Cliff Storage,,,,map
들꽃 갈림길,Forked Wildflower Road,,,,map
라베나 경비초소,Lavena Guard Post,,,,map
트랑제 숲,Terang Woodlands,,,,map
고목나무 길목,Bitterwood Corner,,,,map
그늘진 중턱,Dim Corrie,,,,map
사냥꾼의 오두막,Hunter's Cabin,,,,map
거울 늪,Mirrorswamp,,,,map
어린잎 안식처,Tenderleaf Haven,,,,map
안개숲 저지대,Fogwood Lowlands,,,,map
안개숲 야영지,Fogwood Campsite,,,,map
오크 전초기지,Orc Outpost,,,,map
오크 부락,Orc Town,,,,map
버려진 야영지,Abandoned Campsite,,,,map
잊혀진 성곽,Forgotten Stronghold,,,,map
달무리 폭포,Halo Falls,,,,map
도망자의 쉼터,Runaway's Shelter,,,,map
오든 평야,Ordon Plains,,,,map
브리디 대농장,Bridi Farm,,,,map
마리아 대농장,Maria Farm,,,,map
카터 대농장,Carter Farm,,,,map
돌마루 언덕,Stoneridge Hill,,,,map
말바람 봉우리,Mellowind Peak,,,,map
철매 기사단 숙영지,Scoria Knights Military Camp,,,,map
하블,Hable,,,,map
브리디의 농가,Bridi's Farm House,,,,map
마리아의 안뜰,Maria's Courtyard,,,,map
카터의 헛간,Carter's Barn,,,,map
돌마루 야영지,Stoneridge Campsite,,,,map
말바람 경비초소,Mellowind Guard Post,,,,map
아델렌 광장,Adelen Square,,,,map
영광의 거리,Glory Avenue,,,,map
안식의 거리,Sanctuary Avenue,,,,map
시가지,City,,,,map
델라노르 숲,Dellanor Forest,,,,map
솔바람 길목,Pinebreeze Corner,,,,map
햇살 오솔길,Sunshine Lane,,,,map
생명의 기둥 정원,Pillar of Life Garden,,,,map
메아리 비탈,Echo Slope,,,,map
썩은 가지 들판,Rotting Branch Prairie,,,,map
썩은 뿌리 왕좌,Rotroot Throne,,,,map
마른 잎새 골짜기,Dry Leaf Ravine,,,,map
빗소리 습지,Rainsong Wetlands,,,,map
솔바람 사원,Pinebreeze Temple,,,,map
아름드리 안식처,Beautiful Resting Place,,,,map
메아리 사원,Echo Temple,,,,map
물안개 경비초소,Waterfog Guard Post,,,,map
마른 잎새 사원,Dry Leaf Temple,,,,map
빗소리 관문,Rainsong Gate,,,,map
에코 수호상,Aeko Guard Statue,,,,map
유카비 사막,Yukabi Desert,,,,map
해풍몰이 사잇길,Seabreeze Byway,,,,map
해풍몰이 언덕,Seabreeze Hill,,,,map
황금물결 왕래길,Golden Waves Trail,,,,map
돌해일 해변,Tsunami Beach,,,,map
돌해일 용무덤,Tsunami Dragon Tomb,,,,map
오크 점령지,Orc-Occupied Area,,,,map
빛바랜 사원,Faded Temple,,,,map
바위 골짜기,Rock Ravine,,,,map
바위고룡 추락지,Ancient Rock Dragon Crash Site,,,,map
모래폭포 협곡,Sandfall Canyon,,,,map
모래폭포 끝자락,Sandfall End,,,,map
해풍몰이 시장,Seabreeze Market,,,,map
황금물결 야영지,Golden Waves Campsite,,,,map
돌해일 정박지,Tsunami Wharf,,,,map
술고래 암시장,Drunkard Black Market,,,,map
황혼의 발굴단,Evenfall Excavation Team,,,,map
모래폭포 경계선,Sandfall Border,,,,map
데커스 화산,Dekus Volcano,,,,map
그을음 가도,Sooty Road,,,,map
그을음 간헐천,Sooty Geyser,,,,map
돌먼지 보급로,Stone Dust Supply Path,,,,map
돌먼지 폐광,Stone Dust Abandoned Mine,,,,map
메마른 수렁,Barren Bog,,,,map
적막한 폭포,Desolate Falls,,,,map
잿바람 능선,Ashwind Ridge,,,,map
잿바람 수송로,Ashwind Transport Route,,,,map
침략자 소굴,Invader Den,,,,map
태고 군락지,Ancient Colony,,,,map
파수꾼의 땅,Watchman Grounds,,,,map
회색 지열지대,Gray Geothermal Zone,,,,map
회색 황무지,Gray Wasteland,,,,map
비명소리 웅덩이,Bellowing Basin,,,,map
비명소리 광산,Bellowing Mine,,,,map
융해 위험지대,Melting Danger Zone,,,,map
배반자 소굴,Traitor's Den,,,,map
데커스 용암지대,Dekus Lava Zone,,,,map
그을음 피난처,Sooty Shelter,,,,map
돌먼지 사무소,Stone Dust Office,,,,map
수맥 연구초소,Water Vein Research Post,,,,map
적막한 석벽,Desolate Stone Wall,,,,map
잿바람 요새,Ashwind Fortress,,,,map
잿바람 수송기지,Ashwind Transport Base,,,,map
무너진 마을,Collapsed Village,,,,map
주시자의 망루,Observer's Watchtower,,,,map
회색 농가,Gray Farm,,,,map
회색 관문,Gray Gate,,,,map
비명소리 탈환기지,Reclaimed Bellowing Base,,,,map
바트라 척결군,Batra Eradicators,,,,map
척결군 선봉대,Eradicator Vanguard,,,,map
그을음 야영지,Sooty Campsite,,,,map
기억의 봉우리,Memory Summit,,,,map
비텐 고원,Viten Highlands,,,,map
스톤드 계곡 상류,Upper Stonde Valley,,,,map
스톤드 계곡 하류,Lower Stonde Valley,,,,map
설움의 들판,Sorrowful Prairie,,,,map
빼앗긴 경작지,Stolen Farmland,,,,map
짓밟힌 농원,Trampled Homestead,,,,map
스톤드 전투 폐허,Stonde Battle Ruins,,,,map
스톤드 고지대,Stonde Uplands,,,,map
스톤드 벌목장,Stonde Lumber Camp,,,,map
얼음절벽 협곡,Ice Cliff Canyon,,,,map
황량한 설원,Deserted Snowfield,,,,map
파헤쳐진 설원,Ravaged Snowfield,,,,map
별자리 호수,Constellation Lake,,,,map
달그림자 호수,Moonshadow Lake,,,,map
얼어붙은 호수마을,Frozen Lake Village,,,,map
얼어붙은 벌판,Frozen Fields,,,,map
얼어붙은 폐허,Frozen Ruins,,,,map
서리폭풍 비탈,Ice Tempest Slope,,,,map
서리폭풍 요새,Ice Tempest Fortress,,,,map
서리폭풍 마루,Ice Tempest Floor,,,,map
스톤드 상류 야영지,Upper Stonde Campsite,,,,map
스톤드 하류 야영지,Lower Stonde Campsite,,,,map
헤즈 농성지,Hest's Demonstration Site,,,,map
필사의 보루,Mortal Bastion,,,,map
악마 소탕 보급지,Demon Sweep Supply Area,,,,map
오래된 감시초소,Old Watchhouse,,,,map
얼음절벽 사잇길,Ice Cliff Byway,,,,map
설원 은신처,Snowfield Hideout,,,,map
물길 근원지,Water Source,,,,map
얼어붙은 경계초소,Frozen Border Post,,,,map
얼어붙은 감시터,Frozen Observation Site,,,,map
서리폭풍 피난처,Ice Tempest Shelter,,,,map
서리폭풍 탈환기지,Reclaimed Ice Tempest Base,,,,map
바이하르,Vaihal,,,,map
선지자의 광장,Prophet Square,,,,map
진리의 길,Path of Truth,,,,map
성찰의 광장,Pensive Square,,,,map
통찰의 광장,Insight Square,,,,map
얼음절벽 쉼터,Ice Cliff Shelter,,,,map
얼음절벽 협곡기지,Ice Cliff Canyon Base,,,,map
톨란 분지,Tollan Lagoon,,,,map
환상포자 개울,Dreamspore Creek,,,,map
환상포자 해안,Dreamspore Coast,,,,map
환상포자 습지,Dreamspore Wetlands,,,,map
버섯바위 물줄기,Mushroom Rock Stream,,,,map
버섯바위 사잇길,Mushroom Rock Byway,,,,map
산호수 언덕,Coral Hill,,,,map
산호수 신전,Coral Temple,,,,map
새우등 범람지,Stooped Floodplain,,,,map
새우등 고개,Stooped Pass,,,,map
오로라 내림터,Aurora's Landing,,,,map
오로라 광장터,Aurora Plaza,,,,map
쪽빛바람 숲,Indigo Wind Forest,,,,map
쪽빛바람 나들목,Indigo Wind Junction,,,,map
소금파도 여울,Salt Crest Shoal,,,,map
소금파도 해변,Salt Crest Beach,,,,map
가시산호 길목,Thorned Coral Corner,,,,map
가시산호 무덤,Thorned Coral Tomb,,,,map
가시산호 협곡,Thorned Coral Canyon,,,,map
구름다리 야영지,Cloud Bridge Campsite,,,,map
이리트 연구초소,Yrit Research Post,,,,map
버섯바위 망루,Mushroom Rock Watchtower,,,,map
산호수 전망대,Coral Observatory,,,,map
바위뒤 은신처,Boulderback Hideout,,,,map
산호바위 상점가,Coral Rock Bazaar,,,,map
새우등 그늘막,Stooped Shade Canopy,,,,map
순례자의 휴식처,Pilgrim's Rest Stop,,,,map
쪽빛바람 야영지,Indigo Wind Campsite,,,,map
바위벽 은둔지,Rockwall Hermitage,,,,map
고요한 물고개,Tranquil Pass,,,,map
수평선 감시대,Horizon Lookout,,,,map
가시길 경계구역,Prickly Road Border,,,,map
어두운 횟대,Shadowed Perch,,,,map
가시산호 초소,Thorned Coral Guard Post,,,,map
질퍽이 쉼터,Mudpack Shelter,,,,map
뭐든지 발굴단,Factotum Excavation Team,,,,map
위태로운 절벽,Crumbling Cliff,,,,map
빛내림 초소,Twilight Guard Post,,,,map
헤렌디아 산,Mt. Helendia,,,,map
하늘길 경계선,Skyway Border,,,,map
하늘길 교차점,Skyway Crossing,,,,map
하늘길 목초지,Skyway Pasture,,,,map
높은바람 절벽,Highwind Cliff,,,,map
높은바람 골짜기,Highwind Ravine,,,,map
높은바람 언덕,Highwind Hill,,,,map
악몽의 땅,Nightmare Lands,,,,map
악몽의 재림지,Land of Recurring Nightmares,,,,map
높은바람 정상,Highwind Summit,,,,map
부유하는 장원,Floating Villa,,,,map
부유하는 바위산,Floating Rock Mountain,,,,map
부유하는 채석장,Floating Quarry,,,,map
여행자의 숲,Traveler's Forest,,,,map
하늘길 관찰소,Skyway Observatory,,,,map
하늘길 마을,Skyway Town,,,,map
구름가림 쉼터,Cloud Cover Shelter,,,,map
절벽의 틈새,Cliff Breach,,,,map
맑은바람 우물,Breeze Well Clearing,,,,map
카를란 요새,Karlan Fortress,,,,map
낭떠러지 망루,Cliff Watchtower,,,,map
바람가림 보급지,Windcover Supply Area,,,,map
플리엄 광장,Plium Square,,,,map
좀도둑 감시터,Thief Lookout,,,,map
허름한 보급지,Shabby Supply Area,,,,map
안도의 산장,Calming Cabin,,,,map
고독의 숲,Solitary Forest,,,,map
굽잇길 전선,Winding Road Front,,,,map
골짜기 경계,Ravine Border,,,,map
늪지대 보급지,Swamp Supply Area,,,,map
광란 굽잇길,Madding Winding Road,,,,map
광란 골짜기,Madding Ravine,,,,map
광란의 늪,Madding Swamp,,,,map
서부 식량창고,Westward Food Depot,,,,map
동부전선 야영지,Eastern Front Campsite,,,,map
중앙 선발대,Central Advance Team,,,,map
오만에 찬 농가,Arrogant Farm,,,,map
오만의 언덕,Arrogant Hill,,,,map
오만한 가도,Arrogant Road,,,,map
오만의 평야,Arrogant Plains,,,,map
비탈 전진기지,Hillside Forward Base,,,,map
남부 안전지대,Southern Safe Zone,,,,map
황야 접전지,Wilderness Battlefield,,,,map
좌절 구릉지,Despaired Hills,,,,map
좌절의 길목,Despaired Corner,,,,map
좌절의 황야,Despaired Wilderness,,,,map
좌절의 숲,Despaired Forest,,,,map
환각의 사막,Hollow Desert,,,,map
협곡 보급기지,Canyon Supply Base,,,,map
신기루 경계선,Mirage Border,,,,map
암석계곡 야영지,Boulder Valley Campsite,,,,map
환각 협곡,Hollow Canyon,,,,map
환각의 왕래길,Hollow Trail,,,,map
환각의 광야,Hollow Moor,,,,map
파멸의 화산,Ruinous Volcano,,,,map
산등성이 초소,Mountain Ridge Guard Post,,,,map
북부 숙영지,Northern Military Camp,,,,map
파멸갱도 보급지,Ruinpit Supply Area,,,,map
폭포수 야영지,Cascade Campsite,,,,map
감시자 언덕,Watcher Hill,,,,map
사잇길 은신처,Byway Hideout,,,,map
분화구 경계초소,Crater Border Post,,,,map
돌장막 야영지,Stone Barrier Campsite,,,,map
그루터기 감시터,Stump Observation Site,,,,map
폐허 정찰지,Ruins Recon Spot,,,,map
파멸 범람지,Ruinous Floodplain,,,,map
파멸의 수렁,Bog of Ruin,,,,map
파멸 폐광,Ruinous Abandoned Mine,,,,map
파멸 폭포,Ruinous Falls,,,,map
파멸 가도,Ruinous Road,,,,map
파멸 협로,Ruinous Branch Road,,,,map
파멸 분화구,Ruinous Crater,,,,map
파멸의 웅덩이,Basin of Ruin,,,,map
파멸 그루터기,Ruinous Stump,,,,map
